1,Doses And Mimosas,Cherub,MoM And DaD
2,XOXO,Cherub,MoM And DaD
3,1996,The Wombats,1996
4,Get busy living (feat  Emily Bruce),GoldFish,Get busy living
5,Hold Tight,GoldFish,Goldfish Perceptions of Pacha
6,Stranger,HWYS,Beaches
7,Backroad (feat  Nevve),"VOKES, Nevve",Backroad (feat  Nevve)
8,Dive In,Make Love,Dive In
9,Don't Tell Me How It Ends,Penguin Prison,Lost In New York
10,I Am (Steve Aoki Remix),AWOLNATION,Run (Remixes)
11,Paradise Awaits,ZHU,THE NIGHTDAY - EP
12,Superfriends,ZHU,THE NIGHTDAY - EP
13,Cocaine Model,ZHU,THE NIGHTDAY - EP
14,Daddy Cool,Boney M ,Take The Heat Off Me
15,Porcelain,Skott,Porcelain / Wolf
16,Indian Summer,HOAX,Indian Summer
17,Only - Kaskade x Lipless Remix,"RY X, Kaskade, Lipless",Only (Kaskade x Lipless Remix)
18,Beautiful Escape,"Tom Misch, Zak Abel",Beat Tape 2
19,Stranger,"Miami Horror, Future Unlimited",All Possible Futures
20,Surfs Up,Brave Shores,Brave Shores
21,Never Come Down,Brave Shores,Brave Shores
22,Peer Pressure,Jupiter Project,Peer Pressure
23,Doubts,"Pablo Neptuno, mangeymane",Doubts
24,Caught Alone,Color Card,Caught Alone
25,Life of the Party,Ghostland Observatory,Life of the Party EP
26,Ditch,Gus Dapperton,Ditch
27,Broken Record (Louis the Child Remix) [feat  Joni Fatora],"Soysauce, Joni Fatora",Broken Record (Louis the Child Remix) [feat  Joni Fatora]
28,waves - Tame Impala Remix,Miguel,Rogue Waves
29,OffOffOff,autolaser,OffOffOff
30,I'm the One,Wilderness Survival,On Belay Belay On
31,Black Fur,Elder Island,Seeds in Sand
32,Off The Ground,Anderson  Paak,Venice
33,Bruce Wayne,"Memorecks, Jenna Pemkowski",Follow
34,Stranger,MOTHXR,Centerfold
35,Let Me Know,Grenda,Untouchable Skin
36,If I Was Your Boy,Glassio,If I Was Your Boy
37,Vocelot,Caleb Groh,Ocelot
38,Lude Jaw,RINSE,Lude Jaw
39,I Think I Like You,Dylan Kelly,Living for the Dream
40,1998,"Chet Faker, Banks",1998
41,Where the Light Shines Most,Avindale,Where the Light Shines Most
42,Changing Faces - aimai Remix,"Craft Spells, Aimai",Midnight Render (Nausea Rebuild)
43,More Like You,Brave Shores,Brave Shores
44,Stay Lost,"Joe Hertz, Amber-Simone",Chapter One
45,Paranoia,Max Frost,Intoxication
46,Hometown Girl,ZHU,GENERATIONWHY
47,Dont Fuck With My Money,Penguin Prison,Penguin Prison
48,Calling Out,Penguin Prison,Lost In New York
49,One Too Far - Shy Girls Remix,Jack and Eliza,One Too Far (Shy Girls Remix)
50,Stop for Nothing,courtship ,Stop for Nothing - Single
51,When I'm Down,"Whethan, Oliver Tree",When I'm Down
52,Escape,Zoology,Escape
53,Aurora Borealis (Luca Lush Remix),The Griswolds,Aurora Borealis (Luca Lush Remix)
54,Lightweight,Obliques,Lightweight
55,Vibe,Melvv,Vibe
56,Withdrawal,Max Frost,Intoxication
57,Past Lives,Local Natives,Sunlit Youth
58,Feel It All Around,Washed Out,Life Of Leisure
59,Temporary Love,The Brinks,Temporary Love
60,Dissolve,Absofacto,Dissolve
61,Bruk Bruk (I Need Your Lovin),Dillon Francis,Bruk Bruk (I Need Your Lovin)
62,Need In Me,Flashmob,Need In Me
63,Embracing Me - Mazde Remix,SAFIA,Embracing Me (Remixes)
64,Over Me,Metroplane,Metroplane
65,Disco,Strange Club,Disco
66,Dear To Me,Electric Guest,Dear To Me
67,Take It Back,NotNo,Take It Back
68,Is It Possible,Wildhart,Shine
69,Arrow - Kauf Remix,"Grapell, Kauf",Arrow (Kauf Remix)
70,Airy Canary,Violet Sands,Strange Attractor - EP
71,The Internet Is for Losers,Bad Manion,Bad Manion's June Gloom
72,Hymnals - RAC Mix,Grizfolk,Hymnals (RAC Mix)
73,Tragic on the Dancefloor (Louis La Roche Remix),"Girl Friend, Louis La Roche",Tragic on the Dancefloor (Louis La Roche Remix)
74,Poolside,Moons of Mars,Poolside
75,The High Road,Broken Bells,Broken Bells
76,Multi Millionaire - Prince Language Instrumental Remix,Penguin Prison,"Future Disco, Vol  5 - Downtown Express"
77,Heart Out,Anoraak,Figure - EP
78,Wildfire (Bee's Knees Remix),Scavenger Hunt,Wildfire
79,Chemelin,"Nikitch, Kuna Maze",All the Best
80,Only Temporary (Solidisco Remix),"Bronze Radio Return, Solidisco",Only Temporary (Solidisco Remix)
81,Till You Let Go,Max Future,Till You Let Go
82,Hey Maria,Klangkarussell,Hey Maria - EP
83,Someone To Talk About,"Phantoms, Grace Mitchell",Someone To Talk About
84,Push,Derek Pope,Push - Single
85,Money Rain Down,Big Black Delta,Big Black Delta
86,Touch - Oxford Remix,"Shift K3Y, Oxford",Touch
87,River - BURNS Remix,Bishop Briggs,River (BURNS Remix)
88,While I'm Alive,STRFKR,Miracle Mile
89,Not Too Fast,Plage 84,Not Too Fast - Single
90,Young Blood,The Naked And Famous,"Passive Me, Aggressive You"
91,Savanna - Cesare Remix,"Tobtok, Cesare",Ipanema Beach House Remixes
92,Osama Obama,Larytta,Osama Obama
93,Never Ever,STRFKR,Never Ever
94,Somebody Who (Nzca Remix),Au Revoir Simone,Spectrums
95,Cigarette Daydreams,Cage The Elephant,Melophobia
96,Genghis Khan,Miike Snow,iii
97,Higher Ground,Argonaut And Wasp,Future Protocol
98,Mountain At My Gates,Foals,What Went Down
99,The Wilder Mile,Freedom Fry,The Wilder Mile
100,Dream,Autograf,Dream
